user_id,age,gender,region,subscription,device_type,nb_devices_used,time_on_platform,nb_sessions,avg_session_duration,premium_months,nb_friends,nb_groups,nb_pages_followed,nb_events_participated,nb_searches,nb_notifications_opened,nb_saved_posts,nb_reports,nb_blocked_users,photos_posted,videos_posted,stories_posted,travels_shared,countries_visited,likes,shares,comments_written,reactions_given,reactions_received,messages_sent,messages_received,ads_clicked,video_views,engagement_score,churn_risk,satisfaction,geo_lat,geo_lon
1.0,34.0,H,AFRIQUE,FREE,DESKTOP,1.0,103.0,39.0,7.461893238247705,0.0,162.0,3.0,20.0,2.0,47.0,88.0,1.0,0.0,0.0,25.0,7.0,10.0,4.0,15.0,309.0,5.0,28.0,105.0,125.0,29.0,38.0,21.0,211.0,118.66,0.4831715997206005,2.0,11.94283603694163,93.79894232882178
7.0,34.0,F,AFRIQUE,FREE,MOBILE,3.0,3.0,25.0,7.98113298222162,0.0,137.0,8.0,18.0,1.0,46.0,90.0,11.0,0.0,0.0,30.0,3.0,7.0,3.0,17.0,1.0,6.0,20.0,86.0,104.0,37.0,47.0,6.0,101.0,120.87,0.3203088816685009,4.0,12.07072718134118,91.30374636775385
8.0,46.0,H,AFRIQUE,FREE,DESKTOP,1.0,3.0,32.0,5.019368587531303,0.0,152.0,1.0,17.0,0.0,43.0,76.0,13.0,0.0,0.0,8.0,6.0,9.0,2.0,5.0,97.0,5.0,21.0,90.0,116.0,35.0,44.0,4.0,312.0,68.61,0.4011692654741403,5.0,12.49045394612054,87.54759526924552
10.0,23.0,AUTRE,AMERIQUE,PREMIUM,TABLET,3.0,37.0,20.0,2.681995823898293,27.0,166.0,9.0,23.0,1.0,48.0,77.0,9.0,0.0,0.0,18.0,1.0,7.0,3.0,4.0,225.0,3.0,17.0,105.0,118.0,52.0,62.0,16.0,63.0,94.63,0.0417759109640423,3.0,11.19808233153408,90.2178509677726
14.0,20.0,AUTRE,EUROPE,FREE,MOBILE,2.0,124.0,29.0,6.040890905336173,0.0,146.0,5.0,19.0,10.0,41.0,79.0,10.0,0.0,0.0,24.0,8.0,9.0,1.0,1.0,259.0,2.0,20.0,115.0,132.0,41.0,53.0,21.0,250.0,107.59,0.1456232524638741,2.0,12.01730433801535,83.25316900591476
16.0,29.0,AUTRE,ASIE,FREE,TABLET,3.0,2.0,26.0,4.552248821223686,0.0,131.0,4.0,19.0,2.0,45.0,74.0,13.0,0.0,0.0,11.0,8.0,1.0,1.0,7.0,103.0,3.0,17.0,113.0,140.0,42.0,51.0,4.0,124.0,76.71000000000001,0.98205500776663,3.0,11.88755671252776,91.24685649054
1.0,50.0,H,AFRIQUE,FREE,TABLET,2.0,19.0,25.0,5.165704530782889,0.0,157.0,8.0,24.0,3.0,63.0,69.0,10.0,0.0,0.0,26.0,6.0,13.0,3.0,6.0,339.0,5.0,6.0,99.0,120.0,54.0,61.0,13.0,340.0,115.73,0.8067005179236332,5.0,10.86431901224725,92.23772544666126
18.0,40.0,AUTRE,ASIE,PREMIUM,MOBILE,3.0,11.0,32.0,3.451651998591261,32.0,163.0,6.0,21.0,1.0,47.0,75.0,18.0,0.0,2.0,26.0,7.0,5.0,1.0,5.0,352.0,4.0,21.0,102.0,119.0,46.0,59.0,11.0,143.0,123.11,0.8843783640925746,4.0,11.91414313553532,87.54637453975623
19.0,1.0,F,EUROPE,PREMIUM,MOBILE,2.0,237.0,33.0,6.9775568446432,20.0,145.0,5.0,20.0,4.0,52.0,77.0,9.0,0.0,0.0,20.0,7.0,10.0,5.0,11.0,298.0,4.0,16.0,100.0,120.0,38.0,47.0,25.0,484.0,110.42,0.2371921064088112,3.0,11.63539702647039,92.86218888087669
21.0,52.0,AUTRE,ASIE,FREE,DESKTOP,3.0,90.0,31.0,7.595153759480382,0.0,158.0,7.0,25.0,2.0,48.0,81.0,6.0,0.0,0.0,21.0,5.0,10.0,5.0,9.0,270.0,6.0,28.0,83.0,99.0,45.0,53.0,18.0,449.0,101.47,0.0423106233065959,4.0,11.72369654523941,88.22858130849724
